timestamp_ms,engine_rpm,throttle_pos_pct,engine_load_pct,vehicle_speed_kmh,current_gear,lean_angle_deg,longitudinal_accel_g,lateral_accel_g,road_incline_deg,tire_press_psi,tire_temp_c,suggested_shift_action,optimal_shift_rpm,rider_style_label,hazard_alert_flag
0,5150.9,19.7,21.4,69.5,3,9.4,0.13,0.14,-1.5,29.9,22.2,1,4389.5,0,0
100,6371.3,88.0,67.3,86.0,3,14.7,0.52,0.29,2.0,30.5,30.1,0,8095.7,2,0
200,4248.3,49.1,51.2,46.7,2,6.4,0.25,0.09,3.8,29.7,26.0,0,6384.2,1,0
300,5144.8,50.4,42.3,82.3,4,1.0,0.29,0.01,-2.6,30.0,25.8,0,5992.4,1,0
400,2612.6,23.7,42.6,35.3,3,2.7,0.11,0.04,4.8,29.8,21.9,0,4925.9,0,0
500,4118.3,24.7,28.7,76.2,5,3.1,0.11,0.03,0.2,29.4,22.2,0,4552.9,0,0
600,2097.6,24.3,22.1,17.8,1,7.8,0.06,0.18,-1.9,29.9,22.6,0,4378.5,0,0
700,8714.3,65.3,66.6,139.4,4,20.3,0.29,0.35,2.4,30.6,31.0,1,8107.1,2,0
800,4488.9,26.7,26.9,71.8,4,6.2,0.15,0.11,-0.6,29.9,26.6,0,5895.0,1,0
900,5830.0,50.6,52.6,93.3,4,8.1,0.23,0.12,0.3,30.1,26.5,0,6244.9,1,0
1000,3845.3,31.5,33.7,71.1,5,7.2,0.2,0.14,-0.5,29.6,22.7,0,4581.9,0,0
1100,8804.8,73.6,58.8,140.9,4,25.7,0.37,0.38,-1.5,30.5,30.3,1,7836.2,2,0
1200,6182.6,58.8,62.0,114.4,5,16.7,0.24,0.23,2.3,30.3,30.3,0,8048.4,2,0
1300,3699.5,12.4,21.3,49.9,3,9.0,0.06,0.12,-0.2,30.0,21.9,0,4446.1,0,0
1400,3387.7,30.2,30.6,45.7,3,3.5,0.1,0.08,-3.1,29.7,22.0,0,4428.6,0,0
1500,3853.0,19.5,27.3,32.8,1,11.4,0.08,0.21,1.9,29.7,22.1,0,4611.9,0,0
1600,4406.0,16.9,20.5,37.5,1,1.7,0.05,0.03,-2.5,29.9,21.9,1,4333.4,0,0
1700,6443.1,27.6,34.1,70.9,2,0.9,0.06,0.01,-2.4,29.9,25.6,1,5901.5,1,0
1800,3764.8,27.8,37.8,41.4,2,8.0,0.14,0.13,3.5,29.7,22.0,0,4810.2,0,0
1900,4254.4,30.2,26.5,46.8,2,6.6,0.1,0.13,-2.5,29.7,21.9,0,4406.3,0,0
2000,7905.2,34.5,32.5,87.0,2,5.4,0.17,0.03,-5.3,29.9,25.5,1,5751.9,1,0
2100,3665.0,35.9,43.3,31.2,1,5.0,0.13,0.1,2.1,29.6,22.8,0,4812.1,0,0
2200,2608.4,16.6,20.2,48.3,5,10.3,0.08,0.19,-0.3,29.8,21.6,0,4430.1,0,0
